monthly_sales,category_code,seasonally_adjusted,data_type_code,time,category_name,high_level_category
7773,451,False,SM,2017-11-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
457397,44Z72,False,SM,2017-11-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
78610,452,False,SM,2017-12-01,General Merchandise Stores,Retail Trade
39945,447,False,SM,2017-12-01,Gasoline Stations,Retail Trade
518039,44Z72,False,SM,2017-12-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
33871,448,False,SM,2017-12-01,Clothing and Accessories Stores,Retail Trade
11400,443,False,SM,2017-12-01,Electronics and Appliance Stores,Retail Trade
100042,441,False,SM,2017-12-01,Motor Vehicle and Parts Dealers,Retail Trade
457942,44Y72,False,SM,2017-12-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
496688,44000,False,SM,2017-12-01,Retail Trade,Retail Trade
20267,4521E,False,SM,2017-12-01,Department Stores,Retail Trade
67828,445,False,SM,2017-12-01,Food and Beverage Stores,Retail Trade
11724,453,False,SM,2017-12-01,Miscellaneous Store Retailers,Retail Trade
10857,451,False,SM,2017-12-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
26760,444,False,SM,2017-12-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
59070,4451,False,SM,2017-12-01,Grocery Stores,Retail Trade
417997,44W72,False,SM,2017-12-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
61296,722,False,SM,2017-12-01,Food Services and Drinking Places,Food Services
11431,442,False,SM,2017-12-01,Furniture and Home Furnishings Stores,Retail Trade
30597,446,False,SM,2017-12-01,Health and Personal Care Stores,Retail Trade
92628,441X,False,SM,2017-12-01,Auto and Other Motor Vehicles,Retail Trade
73623,454,False,SM,2017-12-01,Nonstore Retailers,Nonstore Trade
557984,44X72,False,SM,2017-12-01,Retail Trade and Food Services,Retail and Food Services
356079,44Y72,False,SM,2018-01-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
80914,441X,False,SM,2018-01-01,Auto and Other Motor Vehicles,Retail Trade
60313,445,False,SM,2018-01-01,Food and Beverage Stores,Retail Trade
444231,44X72,False,SM,2018-01-01,Retail Trade and Food Services,Retail and Food Services
9453,453,False,SM,2018-01-01,Miscellaneous Store Retailers,Retail Trade
7268,443,False,SM,2018-01-01,Electronics and Appliance Stores,Retail Trade
50622,452,False,SM,2018-01-01,General Merchandise Stores,Retail Trade
15733,448,False,SM,2018-01-01,Clothing and Accessories Stores,Retail Trade
54838,4451,False,SM,2018-01-01,Grocery Stores,Retail Trade
54607,722,False,SM,2018-01-01,Food Services and Drinking Places,Food Services
38954,447,False,SM,2018-01-01,Gasoline Stations,Retail Trade
8874,442,False,SM,2018-01-01,Furniture and Home Furnishings Stores,Retail Trade
389624,44000,False,SM,2018-01-01,Retail Trade,Retail Trade
53078,454,False,SM,2018-01-01,Nonstore Retailers,Nonstore Trade
317125,44W72,False,SM,2018-01-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
27687,446,False,SM,2018-01-01,Health and Personal Care Stores,Retail Trade
5910,451,False,SM,2018-01-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
9127,4521E,False,SM,2018-01-01,Department Stores,Retail Trade
88152,441,False,SM,2018-01-01,Motor Vehicle and Parts Dealers,Retail Trade
23580,444,False,SM,2018-01-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
405277,44Z72,False,SM,2018-01-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
9220,453,False,SM,2018-02-01,Miscellaneous Store Retailers,Retail Trade
9670,4521E,False,SM,2018-02-01,Department Stores,Retail Trade
50888,4451,False,SM,2018-02-01,Grocery Stores,Retail Trade
50805,452,False,SM,2018-02-01,General Merchandise Stores,Retail Trade
82600,441X,False,SM,2018-02-01,Auto and Other Motor Vehicles,Retail Trade
23569,444,False,SM,2018-02-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
398432,44Z72,False,SM,2018-02-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
25643,446,False,SM,2018-02-01,Health and Personal Care Stores,Retail Trade
5608,451,False,SM,2018-02-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
308806,44W72,False,SM,2018-02-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
48708,454,False,SM,2018-02-01,Nonstore Retailers,Nonstore Trade
56396,445,False,SM,2018-02-01,Food and Beverage Stores,Retail Trade
89626,441,False,SM,2018-02-01,Motor Vehicle and Parts Dealers,Retail Trade
6949,443,False,SM,2018-02-01,Electronics and Appliance Stores,Retail Trade
380456,44000,False,SM,2018-02-01,Retail Trade,Retail Trade
18359,448,False,SM,2018-02-01,Clothing and Accessories Stores,Retail Trade
435308,44X72,False,SM,2018-02-01,Retail Trade and Food Services,Retail and Food Services
54852,722,False,SM,2018-02-01,Food Services and Drinking Places,Food Services
345682,44Y72,False,SM,2018-02-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
8697,442,False,SM,2018-02-01,Furniture and Home Furnishings Stores,Retail Trade
36876,447,False,SM,2018-02-01,Gasoline Stations,Retail Trade
54749,454,False,SM,2018-03-01,Nonstore Retailers,Nonstore Trade
6964,451,False,SM,2018-03-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
63562,722,False,SM,2018-03-01,Food Services and Drinking Places,Food Services
10181,442,False,SM,2018-03-01,Furniture and Home Furnishings Stores,Retail Trade
59005,452,False,SM,2018-03-01,General Merchandise Stores,Retail Trade
466104,44Z72,False,SM,2018-03-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
356461,44W72,False,SM,2018-03-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
22125,448,False,SM,2018-03-01,Clothing and Accessories Stores,Retail Trade
508287,44X72,False,SM,2018-03-01,Retail Trade and Food Services,Retail and Food Services
57276,4451,False,SM,2018-03-01,Grocery Stores,Retail Trade
101304,441X,False,SM,2018-03-01,Auto and Other Motor Vehicles,Retail Trade
28455,446,False,SM,2018-03-01,Health and Personal Care Stores,Retail Trade
29824,444,False,SM,2018-03-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
444725,44000,False,SM,2018-03-01,Retail Trade,Retail Trade
63702,445,False,SM,2018-03-01,Food and Beverage Stores,Retail Trade
10326,453,False,SM,2018-03-01,Miscellaneous Store Retailers,Retail Trade
109643,441,False,SM,2018-03-01,Motor Vehicle and Parts Dealers,Retail Trade
7568,443,False,SM,2018-03-01,Electronics and Appliance Stores,Retail Trade
42183,447,False,SM,2018-03-01,Gasoline Stations,Retail Trade
398644,44Y72,False,SM,2018-03-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
11467,4521E,False,SM,2018-03-01,Department Stores,Retail Trade
20378,448,False,SM,2018-04-01,Clothing and Accessories Stores,Retail Trade
53513,4451,False,SM,2018-04-01,Grocery Stores,Retail Trade
42792,447,False,SM,2018-04-01,Gasoline Stations,Retail Trade
381179,44Y72,False,SM,2018-04-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
338387,44W72,False,SM,2018-04-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
32098,444,False,SM,2018-04-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
480480,44X72,False,SM,2018-04-01,Retail Trade and Food Services,Retail and Food Services
420206,44000,False,SM,2018-04-01,Retail Trade,Retail Trade
27128,446,False,SM,2018-04-01,Health and Personal Care Stores,Retail Trade
10551,4521E,False,SM,2018-04-01,Department Stores,Retail Trade
437688,44Z72,False,SM,2018-04-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
6813,443,False,SM,2018-04-01,Electronics and Appliance Stores,Retail Trade
59427,445,False,SM,2018-04-01,Food and Beverage Stores,Retail Trade
9359,442,False,SM,2018-04-01,Furniture and Home Furnishings Stores,Retail Trade
52686,454,False,SM,2018-04-01,Nonstore Retailers,Nonstore Trade
6279,451,False,SM,2018-04-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
91562,441X,False,SM,2018-04-01,Auto and Other Motor Vehicles,Retail Trade
99301,441,False,SM,2018-04-01,Motor Vehicle and Parts Dealers,Retail Trade
53844,452,False,SM,2018-04-01,General Merchandise Stores,Retail Trade
10101,453,False,SM,2018-04-01,Miscellaneous Store Retailers,Retail Trade
60274,722,False,SM,2018-04-01,Food Services and Drinking Places,Food Services
7377,443,False,SM,2018-05-01,Electronics and Appliance Stores,Retail Trade
100706,441X,False,SM,2018-05-01,Auto and Other Motor Vehicles,Retail Trade
480785,44Z72,False,SM,2018-05-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
60405,452,False,SM,2018-05-01,General Merchandise Stores,Retail Trade
464422,44000,False,SM,2018-05-01,Retail Trade,Retail Trade
64063,722,False,SM,2018-05-01,Food Services and Drinking Places,Food Services
55847,454,False,SM,2018-05-01,Nonstore Retailers,Nonstore Trade
371659,44W72,False,SM,2018-05-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
10094,442,False,SM,2018-05-01,Furniture and Home Furnishings Stores,Retail Trade
28965,446,False,SM,2018-05-01,Health and Personal Care Stores,Retail Trade
38021,444,False,SM,2018-05-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
12010,4521E,False,SM,2018-05-01,Department Stores,Retail Trade
419359,44Y72,False,SM,2018-05-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
6714,451,False,SM,2018-05-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
57798,4451,False,SM,2018-05-01,Grocery Stores,Retail Trade
528485,44X72,False,SM,2018-05-01,Retail Trade and Food Services,Retail and Food Services
