monthly_sales,category_code,time,category_name,high_level_category,is_subset
64063.0,722,2018-05-01,Food Services and Drinking Places,Food Services and Drinking Places,False
55847.0,454,2018-05-01,Nonstore Retailers,Nonstore Retailers,False
28965.0,446,2018-05-01,Health and Personal Care Stores,Health and Personal Care Stores,False
12163.0,453,2018-05-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False
23552.0,448,2018-05-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False
64458.0,445,2018-05-01,Food and Beverage Stores,Food and Beverage Stores,False
7377.0,443,2018-05-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False
60405.0,452,2018-05-01,General Merchandise Stores,General Merchandise Stores,False
58166.0,452,2018-06-01,General Merchandise Stores,General Merchandise Stores,False
6748.0,451,2018-06-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False
62734.0,445,2018-06-01,Food and Beverage Stores,Food and Beverage Stores,False
21234.0,448,2018-06-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False
11199.0,453,2018-06-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False
47009.0,447,2018-06-01,Gasoline Stations,Gasoline Stations,False
63545.0,722,2018-06-01,Food Services and Drinking Places,Food Services and Drinking Places,False
35056.0,444,2018-06-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False
51835.0,454,2018-06-01,Nonstore Retailers,Nonstore Retailers,False
27655.0,446,2018-06-01,Health and Personal Care Stores,Health and Personal Care Stores,False
17381.0,4423X,2018-06-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False
11165.0,4521E,2018-06-01,Department Stores,Department Stores,False
9898.0,442,2018-06-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False
104745.0,441,2018-06-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False
