monthly_sales,category_code,time,category_name,high_level_category,is_subset,cv
3324.0,44812,2017-06-01,Women's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.14956574020784283
90996.0,441X,2017-06-01,Auto and Other Motor Vehicles,Motor Vehicle and Parts Dealers,True,0.13209191148749178
12289.0,4521E,2017-06-01,Department Stores,Department Stores,False,0.08625376047961941
54152.0,4451,2017-06-01,Grocery Stores,Food and Beverage Stores,True,0.11349523953737436
2559.0,44831,2017-06-01,Jewelry Stores,Clothing and Clothing Accessories Stores,True,0.16151059730989883
317545.0,4400A,2017-06-01,"Retail Trade, ex Auto",Retail Trade and Food Services,True,0.14786202192215359
28784.0,444,2017-06-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False,0.15026291940613784
7812.0,4413,2017-07-01,"Automotive Parts, Accessories, and Tire Stores",Motor Vehicle and Parts Dealers,True,0.1433024713423359
91046.0,441X,2017-07-01,Auto and Other Motor Vehicles,Motor Vehicle and Parts Dealers,True,0.13209191148749178
2631.0,44831,2017-07-01,Jewelry Stores,Clothing and Clothing Accessories Stores,True,0.16151059730989883
98858.0,441,2017-07-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False,0.13222117092684332
10267.0,453,2017-07-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False,0.15056250465367801
38889.0,45291,2017-07-01,Warehouse Clubs and Superstores,Other General Merchandise Stores,True,0.11960213558615292
57149.0,722,2017-07-01,Food Services and Drinking Places,Food Services and Drinking Places,False,0.19492193263494256
2972.0,4482,2017-07-01,Shoe Stores,Clothing and Clothing Accessories Stores,True,0.13692203890623816
416403.0,44000,2017-07-01,Retail Trade,Retail Trade and Food Services,True,0.14265869482578272
317545.0,4400A,2017-07-01,"Retail Trade, ex Auto",Retail Trade and Food Services,True,0.14786202192215359
105412.0,4400C,2017-07-01,GAFO,Retail Trade and Food Services,True,0.09965600249127685
