monthly_sales,category_code,time,category_name,high_level_category,is_subset
52500.0,7225,2017-03-01,Restaurants and Other Eating Places,Food Services and Drinking Places,True
106337.0,441,2017-03-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False
17315.0,4423X,2017-03-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False
483168.0,44X72,2017-03-01,Retail Trade and Food Services,Retail Trade and Food Services,False
423024.0,44000,2017-03-01,Retail Trade,Retail Trade and Food Services,True
3241.0,4482,2017-03-01,Shoe Stores,Clothing and Clothing Accessories Stores,True
21354.0,448,2017-03-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False
41813.0,4541,2017-03-01,Electronic Shopping and Mail-order Houses,Nonstore Retailers,True
39099.0,447,2017-03-01,Gasoline Stations,Gasoline Stations,False
103415.0,4400C,2017-03-01,GAFO,Retail Trade and Food Services,True
25203.0,4441,2017-03-01,Building Material and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,True
7863.0,452112E,2017-03-01,Discount Department Stores,Department Stores,True
9927.0,453,2017-03-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False
834.0,44811,2017-04-01,Men's Clothing Stores,Clothing and Clothing Accessories Stores,True
3981.0,4422,2017-04-01,Home Furnishings Stores,Furniture and Home Furnishings Stores,True
59631.0,445,2017-04-01,Food and Beverage Stores,Food and Beverage Stores,False
3498.0,44812,2017-04-01,Women's Clothing Stores,Clothing and Clothing Accessories Stores,True
25816.0,446,2017-04-01,Health and Personal Care Stores,Health and Personal Care Stores,False
82286.0,4411,2017-04-01,Automobile Dealers,Motor Vehicle and Parts Dealers,True
8449.0,44814,2017-04-01,Family Clothing Stores,Clothing and Clothing Accessories Stores,True
15687.0,4481,2017-04-01,Clothing Stores,Clothing and Clothing Accessories Stores,True
6677.0,443,2017-04-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False
31245.0,444,2017-04-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False
4079.0,4453,2017-04-01,"Beer, Wine, and Liquor Stores",Food and Beverage Stores,True
21617.0,44611,2017-04-01,Pharmacies and Drug Stores,Health and Personal Care Stores,True
6352.0,451,2017-04-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False
21164.0,448,2017-04-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False
3657.0,45111,2017-04-01,Sporting Goods Stores,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",True
39458.0,447,2017-04-01,Gasoline Stations,Gasoline Stations,False
58578.0,722,2017-04-01,Food Services and Drinking Places,Food Services and Drinking Places,False
1286.0,45322,2017-04-01,"Gift, Novelty, and Souvenir Stores",Miscellaneous Store Retailers,True
51289.0,44511,2017-04-01,Supermarkets and Other Grocery (Except Convenience) Stores,Food and Beverage Stores,True
8728.0,442,2017-04-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False
935.0,44412,2017-04-01,Paint and Wallpaper Stores,Building Material and Garden Equipment and Supplies Dealers,True
72893.0,44111,2017-04-01,New Car Dealers,Motor Vehicle and Parts Dealers,True
25948.0,4441,2017-04-01,Building Material and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,True
1278.0,45112,2017-04-01,"Hobby, Toy, and Game Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",True
407275.0,44000,2017-04-01,Retail Trade,Retail Trade and Food Services,True
53657.0,4451,2017-04-01,Grocery Stores,Food and Beverage Stores,True
3083.0,4482,2017-04-01,Shoe Stores,Clothing and Clothing Accessories Stores,True
39265.0,4541,2017-04-01,Electronic Shopping and Mail-order Houses,Nonstore Retailers,True
465853.0,44X72,2017-04-01,Retail Trade and Food Services,Retail Trade and Food Services,False
100811.0,4400C,2017-04-01,GAFO,Retail Trade and Food Services,True
15405.0,4423X,2017-04-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False
50879.0,7225,2017-04-01,Restaurants and Other Eating Places,Food Services and Drinking Places,True
1376.0,44819,2017-04-01,Other Clothing Stores,Clothing and Clothing Accessories Stores,True
922.0,45321,2017-04-01,Office Supplies and Stationery Stores,Miscellaneous Store Retailers,True
9698.0,453,2017-04-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False
97343.0,441,2017-04-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False
5330.0,443142,2017-04-01,Electronics Stores,Electronics and Appliance Stores,True
3823.0,452111E,2017-04-01,Department Stores (Excl. Discount Department Stores),Department Stores,True
715.0,451211,2017-04-01,Book Stores,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",True
25156.0,72251X,2017-04-01,Limited Service Eating Places,Food Services and Drinking Places,True
1347.0,443141,2017-04-01,Household Appliance Stores,Electronics and Appliance Stores,True
309932.0,4400A,2017-04-01,"Retail Trade, ex Auto",Retail Trade and Food Services,True
329052.0,44W72,2017-04-01,"Retail Trade and Food Services, ex Auto and Gas",Retail Trade and Food Services,True
368510.0,44Y72,2017-04-01,"Retail Trade and Food Services, ex Auto",Retail Trade and Food Services,True
426395.0,44Z72,2017-04-01,"Retail Trade and Food Services, ex Gas",Retail Trade and Food Services,True
89661.0,441X,2017-04-01,Auto and Other Motor Vehicles,Motor Vehicle and Parts Dealers,True
2207.0,44413,2017-04-01,Hardware Stores,Building Material and Garden Equipment and Supplies Dealers,True
7671.0,452112E,2017-04-01,Discount Department Stores,Department Stores,True
6142.0,45299,2017-04-01,All Other General Merchandise Stores,Other General Merchandise Stores,True
2128.0,45431,2017-04-01,Fuel Dealers,Gasoline Stations,True
