cell_value,time_slot_id,data_type_code,category_code,error_data,seasonally_adj,data_type_code,time,us
22058,0,SM,448,no,yes,SM,2017-01,1
21686,0,SM,448,no,yes,SM,2017-02,1
21836,0,SM,448,no,yes,SM,2017-03,1
21834,0,SM,448,no,yes,SM,2017-04,1
21627,0,SM,448,no,yes,SM,2017-05,1
21777,0,SM,448,no,yes,SM,2017-06,1
21646,0,SM,448,no,yes,SM,2017-07,1
21760,0,SM,448,no,yes,SM,2017-08,1
21857,0,SM,448,no,yes,SM,2017-09,1
21754,0,SM,448,no,yes,SM,2017-10,1
22028,0,SM,448,no,yes,SM,2017-11,1
21750,0,SM,448,no,yes,SM,2017-12,1
39949,0,SM,447,no,yes,SM,2017-01,1
40240,0,SM,447,no,yes,SM,2017-02,1
39897,0,SM,447,no,yes,SM,2017-03,1
39776,0,SM,447,no,yes,SM,2017-04,1
38127,0,SM,447,no,yes,SM,2017-05,1
37460,0,SM,447,no,yes,SM,2017-06,1
37409,0,SM,447,no,yes,SM,2017-07,1
38625,0,SM,447,no,yes,SM,2017-08,1
40824,0,SM,447,no,yes,SM,2017-09,1
40784,0,SM,447,no,yes,SM,2017-10,1
41835,0,SM,447,no,yes,SM,2017-11,1
42676,0,SM,447,no,yes,SM,2017-12,1
57359,0,SM,722,no,yes,SM,2017-01,1
57382,0,SM,722,no,yes,SM,2017-02,1
57280,0,SM,722,no,yes,SM,2017-03,1
57373,0,SM,722,no,yes,SM,2017-04,1
57377,0,SM,722,no,yes,SM,2017-05,1
57291,0,SM,722,no,yes,SM,2017-06,1
57149,0,SM,722,no,yes,SM,2017-07,1
57588,0,SM,722,no,yes,SM,2017-08,1
57907,0,SM,722,no,yes,SM,2017-09,1
58287,0,SM,722,no,yes,SM,2017-10,1
58928,0,SM,722,no,yes,SM,2017-11,1
59280,0,SM,722,no,yes,SM,2017-12,1
7216,0,SM,451,no,yes,SM,2017-01,1
7073,0,SM,451,no,yes,SM,2017-02,1
6980,0,SM,451,no,yes,SM,2017-03,1
7050,0,SM,451,no,yes,SM,2017-04,1
6954,0,SM,451,no,yes,SM,2017-05,1
6971,0,SM,451,no,yes,SM,2017-06,1
6848,0,SM,451,no,yes,SM,2017-07,1
6915,0,SM,451,no,yes,SM,2017-08,1
6989,0,SM,451,no,yes,SM,2017-09,1
7016,0,SM,451,no,yes,SM,2017-10,1
7112,0,SM,451,no,yes,SM,2017-11,1
7073,0,SM,451,no,yes,SM,2017-12,1
333700,0,SM,44W72,no,yes,SM,2017-01,1
333938,0,SM,44W72,no,yes,SM,2017-02,1
335427,0,SM,44W72,no,yes,SM,2017-03,1
336816,0,SM,44W72,no,yes,SM,2017-04,1
