monthly_sales,category_code,time,category_name,high_level_category
502255,44X72,2018-07-01,Retail Trade and Food Services,Retail and Food Services
100877,441,2018-07-01,Motor Vehicle and Parts Dealers,Retail Trade
43996,447,2018-07-01,Gasoline Stations,Retail Trade
31279,444,2018-07-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
92897,441X,2018-07-01,Auto and Other Motor Vehicles,Retail Trade
440024,44000,2018-07-01,Retail Trade,Retail Trade
28247,446,2018-07-01,Health and Personal Care Stores,Retail Trade
22495,448,2018-07-01,Clothing and Accessories Stores,Retail Trade
357382,44W72,2018-07-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
10020,442,2018-07-01,Furniture and Home Furnishings Stores,Retail Trade
7843,443,2018-07-01,Electronics and Appliance Stores,Retail Trade
62598,445,2018-07-01,Food and Beverage Stores,Retail Trade
62523,722,2018-08-01,Food Services and Drinking Places,Food Services
6479,451,2018-08-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
44681,447,2018-08-01,Gasoline Stations,Retail Trade
439439,44000,2018-08-01,Retail Trade,Retail Trade
30910,444,2018-08-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
58998,452,2018-08-01,General Merchandise Stores,Retail Trade
10614,453,2018-08-01,Miscellaneous Store Retailers,Retail Trade
