monthly_sales,category_code,time,category_name,high_level_category,is_subset,cv,year,yoy_growth,cpi_index,inflation_adjusted_sales
2526.0,44831,2017-02-01,Jewelry Stores,Clothing and Clothing Accessories Stores,True,0.16151059730989883,2017,NULL,243.603,1036.9330426965184
98767.0,441,2017-02-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False,0.13222117092684332,2017,NULL,243.603,40544.24617102417
316796.0,4400A,2017-02-01,"Retail Trade, ex Auto",Retail Trade and Food Services,True,0.14786202192215359,2017,NULL,243.603,130046.01749567944
7679.0,4413,2017-02-01,"Automotive Parts, Accessories, and Tire Stores",Motor Vehicle and Parts Dealers,True,0.1433024713423359,2017,NULL,243.603,3152.260029638387
7073.0,451,2017-02-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False,0.1329579988257443,2017,NULL,243.603,2903.494620345398
12419.0,4521E,2017-02-01,Department Stores,Department Stores,False,0.08625376047961941,2017,NULL,243.603,5098.04887460335
25322.0,4441,2017-02-01,Building Material and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,True,0.14604896148954988,2017,NULL,243.603,10394.781673460508
105441.0,4400C,2017-02-01,GAFO,Retail Trade and Food Services,True,0.09965600249127685,2017,NULL,243.603,43283.94970505289
91088.0,441X,2017-02-01,Auto and Other Motor Vehicles,Motor Vehicle and Parts Dealers,True,0.13209191148749178,2017,NULL,243.603,37391.98614138578
333938.0,44W72,2017-02-01,"Retail Trade and Food Services, ex Auto and Gas",Retail Trade and Food Services,True,0.15165527084301234,2017,NULL,243.603,137082.87664766033
415563.0,44000,2017-02-01,Retail Trade,Retail Trade and Food Services,True,0.14265869482578272,2017,NULL,243.603,170590.2636667036
26545.0,446,2017-03-01,Health and Personal Care Stores,Health and Personal Care Stores,False,0.10392429670787862,2017,NULL,243.801,10887.978310179204
2521.0,45431,2017-03-01,Fuel Dealers,Gasoline Stations,True,0.17230226571801976,2017,NULL,243.801,1034.0400572598144
6980.0,451,2017-03-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False,0.1329579988257443,2017,NULL,243.801,2862.9907178395497
57390.0,452,2017-03-01,General Merchandise Stores,General Merchandise Stores,False,0.09676640812278407,2017,NULL,243.801,23539.690157136356
106088.0,4400C,2017-03-01,GAFO,Retail Trade and Food Services,True,0.09965600249127685,2017,NULL,243.801,43514.17754644157
48809.0,454,2017-03-01,Nonstore Retailers,Nonstore Retailers,False,0.2888760037575308,2017,NULL,243.801,20020.01632478948
9557.0,442,2017-03-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False,0.12210590008330764,2017,NULL,243.801,3920.000328136472
7796.0,443,2017-03-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False,0.10050608283677352,2017,NULL,243.801,3197.689919237411
21836.0,448,2017-03-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False,0.1604678192444514,2017,NULL,243.801,8956.485002112378
96825.0,441,2017-03-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False,0.13222117092684332,2017,NULL,243.801,39714.76737174991
60346.0,445,2017-03-01,Food and Beverage Stores,Food and Beverage Stores,False,0.11303261227981656,2017,NULL,243.801,24752.154421023704
38767.0,45291,2017-03-01,Warehouse Clubs and Superstores,Other General Merchandise Stores,True,0.11960213558615292,2017,NULL,243.801,15901.083260528054
432252.0,44Z72,2017-03-01,"Retail Trade and Food Services, ex Gas",Retail Trade and Food Services,True,0.14600138047167524,2017,NULL,243.801,177297.0578463583
4318.0,4453,2017-03-01,"Beer, Wine, and Liquor Stores",Food and Beverage Stores,True,0.12317134392129873,2017,NULL,243.801,1771.1166073970167
375324.0,44Y72,2017-03-01,"Retail Trade and Food Services, ex Auto",Retail Trade and Food Services,True,0.15215800617347675,2017,NULL,243.801,153946.8665017781
318044.0,4400A,2017-03-01,"Retail Trade, ex Auto",Retail Trade and Food Services,True,0.14786202192215359,2017,NULL,243.801,130452.29510953606
28676.0,444,2017-03-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False,0.15026291940613784,2017,NULL,243.801,11762.051837359159
2529.0,44831,2017-03-01,Jewelry Stores,Clothing and Clothing Accessories Stores,True,0.16151059730989883,2017,NULL,243.801,1037.3214219794013
15990.0,4481,2017-03-01,Clothing Stores,Clothing and Clothing Accessories Stores,True,0.16157649531500107,2017,NULL,243.801,6558.627733274269
22030.0,44611,2017-03-01,Pharmacies and Drug Stores,Health and Personal Care Stores,True,0.10447352198943238,2017,NULL,243.801,9036.058096562361
335427.0,44W72,2017-03-01,"Retail Trade and Food Services, ex Auto and Gas",Retail Trade and Food Services,True,0.15165527084301234,2017,NULL,243.801,137582.2904746084
3250.0,44812,2017-03-01,Women's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.14956574020784283,2017,NULL,243.801,1333.0544173321687
6204.0,45299,2017-03-01,All Other General Merchandise Stores,Other General Merchandise Stores,True,0.12345412382193059,2017,NULL,243.801,2544.698340039623
89067.0,441X,2017-03-01,Auto and Other Motor Vehicles,Motor Vehicle and Parts Dealers,True,0.13209191148749178,2017,NULL,243.801,36532.66393493053
7758.0,4413,2017-03-01,"Automotive Parts, Accessories, and Tire Stores",Motor Vehicle and Parts Dealers,True,0.1433024713423359,2017,NULL,243.801,3182.103436819373
39897.0,447,2017-03-01,Gasoline Stations,Gasoline Stations,False,0.18634262508160362,2017,NULL,243.801,16364.576027169702
472149.0,44X72,2017-03-01,Retail Trade and Food Services,Retail Trade and Food Services,False,0.14685787363973846,2017,NULL,243.801,193661.63387352802
832.0,44811,2017-03-01,Men's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.2466110754983098,2017,NULL,243.801,341.26193083703515
25053.0,4441,2017-03-01,Building Material and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,True,0.14604896148954988,2017,NULL,243.801,10276.003789976252
17353.0,4423X,2017-03-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False,0.10351229967573385,2017,NULL,243.801,7117.690247373884
44971.0,4529,2017-03-01,Other General Merchandise Stores,Other General Merchandise Stores,False,0.11963872522448052,2017,NULL,243.801,18445.781600567676
12419.0,4521E,2017-03-01,Department Stores,Department Stores,False,0.08625376047961941,2017,NULL,243.801,5093.908556568677
3084.0,4482,2017-03-01,Shoe Stores,Clothing and Clothing Accessories Stores,True,0.13692203890623816,2017,NULL,243.801,1264.9660994007409
414869.0,44000,2017-03-01,Retail Trade,Retail Trade and Food Services,True,0.14265869482578272,2017,NULL,243.801,170167.06248128598
57280.0,722,2017-03-01,Food Services and Drinking Places,Food Services and Drinking Places,False,0.19492193263494256,2017,NULL,243.801,23494.571392242033
54117.0,4451,2017-03-01,Grocery Stores,Food and Beverage Stores,True,0.11349523953737436,2017,NULL,243.801,22197.20181623537
42065.0,4541,2017-03-01,Electronic Shopping and Mail-order Houses,Nonstore Retailers,True,0.3085678950191212,2017,NULL,243.801,17253.825866177744
10212.0,453,2017-03-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False,0.15056250465367801,2017,NULL,243.801,4188.662064552647
22240.0,44611,2017-04-01,Pharmacies and Drug Stores,Health and Personal Care Stores,True,0.10447352198943238,2017,NULL,244.524,9095.22173692562
89571.0,441X,2017-04-01,Auto and Other Motor Vehicles,Motor Vehicle and Parts Dealers,True,0.13209191148749178,2017,NULL,244.524,36630.76017078078
42633.0,4541,2017-04-01,Electronic Shopping and Mail-order Houses,Nonstore Retailers,True,0.3085678950191212,2017,NULL,244.524,17435.098395249544
4367.0,4453,2017-04-01,"Beer, Wine, and Liquor Stores",Food and Beverage Stores,True,0.12317134392129873,2017,NULL,244.524,1785.9187646202417
319219.0,4400A,2017-04-01,"Retail Trade, ex Auto",Retail Trade and Food Services,True,0.14786202192215359,2017,NULL,244.524,130547.10376077604
7865.0,443,2017-04-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False,0.10050608283677352,2017,NULL,244.524,3216.4531906888483
336816.0,44W72,2017-04-01,"Retail Trade and Food Services, ex Auto and Gas",Retail Trade and Food Services,True,0.15165527084301234,2017,NULL,244.524,137743.53437699366
